taxID,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18
52,0,0,0,0,53,0,0,0,1,0
56,0,0,0,0,53,0,0,0,0,0
94,0,0,0,0,0,0,0,1,0,0
197,0,0,0,0,0,0,0,2,0,0
213,1,0,0,0,1,5,5,1,0,0
217,3,0,0,0,4,0,0,65,0,0
235,0,0,0,0,0,1,0,79,0,0
250,0,0,71,0,0,0,0,0,0,0
253,0,0,1,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,3,0,0
297,0,0,0,1,0,0,0,0,1,0
303,0,0,0,0,0,0,0,140,0,0
305,0,0,0,0,0,1,0,0,0,0
316,0,0,0,0,0,0,0,2,0,0
317,0,0,0,0,0,0,0,1,0,0
333,0,0,0,0,0,0,0,1,0,0
375,0,0,0,0,0,0,0,0,0,1
376,0,0,0,0,0,0,0,2,0,12
381,0,0,0,0,0,1,0,0,0,0
382,0,0,0,0,0,93,0,0,0,0
386,0,0,0,0,0,0,0,4,0,0
470,0,0,0,0,0,0,0,3,0,0
471,0,0,0,0,0,0,0,10,0,0
518,0,3,0,0,0,0,0,24,1,0
519,8,2,0,0,0,0,0,18,0,0
521,0,0,0,0,0,0,0,1,0,0
529,1,2,0,1,0,75,0,7697,2,0
545,94,0,0,0,2,0,0,0,0,0
546,31,0,0,0,0,0,0,0,0,1
548,14,0,0,0,0,0,0,0,0,1
550,9,0,0,0,0,0,0,0,0,0
552,1,0,0,0,0,0,0,0,0,0
562,159148,23,57,20,1828,21,50,21,691,2303
563,1,0,0,0,0,0,0,0,0,0
564,8643,5,6,1,140,1,3,1,15,136
565,1,0,0,0,0,0,0,0,0,0
571,15,0,0,0,0,0,0,0,0,0
573,4350,2,7,5,70,4,7,3,21,89
582,54,0,0,0,2,0,0,0,1,1
584,23,0,0,0,0,0,0,0,1,0
587,3,0,0,0,0,0,0,0,0,0
588,20,0,0,0,0,0,0,0,1,0
595,47,0,0,0,0,0,0,0,0,1
596,3,0,0,0,1,0,0,0,0,0
598,45,0,0,0,2,0,0,0,1,2
600,1,0,0,0,0,0,0,0,0,0
605,29,0,0,0,0,0,0,0,0,0
611,23,0,0,0,0,0,0,0,0,1
615,4,0,0,0,0,0,0,0,0,0
618,3,0,0,0,0,0,0,0,1,0
621,1615,0,0,0,14,0,1,1,7,12
622,2814,1,1,1,26,0,0,0,8,37
623,4691,0,3,2,43,0,0,1,21,102
624,3154,0,0,0,37,0,0,1,16,71
630,1,0,0,0,0,0,0,0,0,0
632,5,0,0,0,0,0,0,0,0,0
636,3,0,0,0,0,0,0,0,0,0
638,2,0,0,0,0,0,0,0,0,0
726,0,0,0,0,0,0,0,0,1,0
817,24,0,0,0,1,29,15,2,123,1
818,21,6,1,0,0,44,17,6,138,0
820,6620,28,3,2,6,3770,3214,1602,7367,33
821,1,1,0,0,0,376,255,1,8,1
823,12127,9,4,7,5,2228,428,4,7857,1793
831,0,1,0,0,0,12,6,6,1,0
837,0,0,0,0,0,0,1,0,0,0
839,7,0,0,0,0,15,13,4,0,7
876,17,0,0,0,1,17,3,0,86,0
881,0,0,0,0,0,1,0,0,0,0
901,8,0,0,0,0,2,0,0,78,0
907,0,2,0,0,0,0,0,0,0,0
964,0,0,0,0,0,0,0,4,0,0
1017,0,0,0,0,0,1,0,0,0,0
1042,0,19,1,0,2,0,0,0,0,16
1076,0,0,0,0,0,0,0,0,0,1
1112,0,1,0,0,0,0,0,0,0,1
1126,4,0,1,0,0,63,36,0,0,0
1140,0,0,0,0,0,4,7,1,0,0
1249,0,0,0,0,0,0,0,0,0,2
1254,0,1,0,0,0,1,0,0,5,7
1255,0,0,0,0,0,2,2,0,0,3
1260,0,1,0,0,0,0,0,0,0,0
1270,0,0,0,0,13,0,1,0,0,0
1273,0,1,0,0,24,0,0,1,0,1
1280,8,10,3,1353,522,11,8,10,183,10
1281,1,0,0,96,18,2,0,0,1,1
1282,1,1,3,39,7254,1,2,4,7830,3
1283,0,0,0,44,36,1,0,0,51,0
1286,0,0,0,39,4,0,1,0,1,0
1288,0,0,0,11,0,0,0,0,0,0
1290,0,0,0,18,9,0,0,0,7,0
1292,7,1,1,1052,221,9,5,1,1,0
1293,0,0,0,3,0,1,0,0,0,0
1294,0,0,0,0,2,0,0,0,1,0
1295,0,0,0,0,1,0,0,0,1,0
1296,183,4,6,16294,4801,160,38,1,4,4
1302,0,0,0,121,434,13,17,0,1,0
1303,0,0,0,8,5,1,1,0,1,0
1304,1,4,1541,8,7,2,8,3,2,12
1305,1,1,12,838,221,10,3,1,18,1
1307,10,5,4,42498,13931,518,202,16,681,23
1308,0,1,489,46,25,0,1,1,1,3
1309,0,0,0,0,14,0,0,0,0,0
1310,0,0,0,2,4,0,0,0,0,1
