taxID,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18
35,0,0,0,0,1,0,0,0,0,0
48,0,0,0,0,1,0,0,0,0,0
52,0,0,0,0,62,0,0,0,1,0
56,0,0,0,0,53,0,0,0,0,0
94,0,0,0,0,0,0,0,1,0,0
197,0,0,0,1,0,0,0,2,0,0
213,1,0,0,0,1,5,5,1,0,0
217,3,0,0,0,4,0,0,65,0,0
235,0,0,0,0,0,1,0,82,0,0
250,0,0,71,0,0,0,0,0,0,0
253,0,0,1,0,0,0,0,0,0,0
256,0,0,0,1,0,0,0,0,0,0
258,0,0,0,0,0,0,1,0,0,0
293,0,0,0,0,0,0,0,0,0,1
294,0,0,0,0,0,0,0,3,0,0
297,0,0,0,1,0,0,0,0,1,0
303,0,0,0,0,0,0,0,141,0,0
305,1,0,0,0,0,1,0,0,1,0
316,0,0,0,0,0,0,0,2,0,0
317,0,0,0,0,0,0,0,1,0,0
333,0,0,0,0,0,0,0,1,0,0
375,0,0,0,0,0,0,0,0,0,6
376,0,0,0,0,0,0,0,2,0,13
381,0,0,0,0,0,1,0,0,0,0
382,0,0,0,0,0,95,0,0,0,0
386,0,0,0,0,0,0,0,4,0,0
408,0,0,0,0,0,1,0,0,0,0
454,0,0,0,0,0,0,1,0,0,0
470,1,0,0,0,0,0,0,3,0,0
471,0,0,0,0,0,0,0,10,0,0
518,0,3,0,0,0,0,0,24,1,0
519,8,2,0,0,0,0,0,18,0,0
521,0,0,0,0,0,0,0,1,0,0
529,1,2,1,2,0,77,0,7792,2,0
536,0,2,1,0,3,0,0,5,0,2
542,0,0,0,0,2,0,0,0,0,0
545,97,0,0,0,2,0,0,0,0,0
546,34,0,0,0,0,0,0,0,0,1
548,14,0,0,0,0,0,0,0,0,1
549,0,0,0,0,0,0,0,0,1,0
550,10,0,0,0,0,0,0,0,0,0
552,1,0,0,0,0,0,0,0,0,0
562,161320,31,62,24,1856,28,60,29,702,2334
563,1,0,0,0,0,0,0,0,0,0
564,8734,6,6,1,141,1,3,1,16,138
565,2,0,0,0,0,0,0,0,0,0
571,17,0,0,0,0,0,0,0,0,0
573,4397,2,7,5,70,4,7,3,21,89
582,54,0,0,0,2,0,0,0,1,1
584,23,0,0,0,0,0,0,0,1,0
587,3,0,0,0,0,0,0,0,0,0
588,20,0,0,0,0,0,0,0,1,0
595,48,0,0,0,0,0,0,0,0,1
596,49,0,0,0,2,0,0,0,1,0
598,47,0,0,0,2,0,0,0,1,2
600,1,0,0,0,0,0,0,0,0,0
605,29,0,0,0,0,0,0,0,0,0
611,23,0,0,0,0,0,0,0,0,1
615,4,0,0,0,0,0,0,0,0,0
618,3,0,0,0,0,0,0,0,1,0
621,1639,0,0,0,15,0,1,1,7,12
622,2860,1,1,1,26,0,0,0,8,39
623,4750,0,3,2,43,0,1,1,21,102
624,3192,0,0,0,37,0,0,1,17,71
630,1,0,0,0,0,0,0,0,0,0
632,5,0,0,0,0,0,0,0,0,0
636,3,0,0,0,0,0,0,0,0,0
638,2,0,0,0,0,0,0,0,0,0
680,1,0,0,0,0,0,0,0,0,0
726,0,0,0,0,0,0,0,0,1,0
783,0,0,0,0,0,0,0,0,0,1
817,36,0,0,0,1,40,23,7,128,4
818,22,7,1,0,0,45,20,7,150,0
820,6711,30,6,3,8,3887,3319,1614,7518,35
821,1,1,0,0,0,384,261,1,12,1
823,12269,11,5,7,6,2289,447,5,7992,1812
824,0,0,0,0,0,0,0,0,1,0
831,0,1,0,0,0,19,9,6,2,0
837,0,0,0,0,0,0,1,0,0,0
839,8,1,0,0,0,16,14,4,0,7
847,0,0,1,0,0,0,0,0,0,0
853,0,0,0,0,0,0,0,0,1,0
876,17,0,0,0,1,17,3,0,93,0
881,0,0,0,0,0,1,0,0,0,0
901,9,0,0,0,0,2,0,0,83,0
907,0,3,0,0,0,2,0,0,0,0
926,0,0,0,0,0,2,1,0,1,0
944,0,0,0,0,0,0,0,1,0,0
959,0,0,0,0,0,0,1,0,0,0
964,0,0,0,0,0,0,0,4,0,0
1017,0,0,0,1,1,1,0,0,0,0
1018,0,0,0,4,0,0,1,0,0,0
1042,0,19,1,0,2,0,0,0,0,16
1076,0,0,0,0,0,0,0,0,0,1
1112,0,1,0,0,0,0,0,0,0,1
1126,41,1,1,0,0,149,109,3,0,6
1140,2,0,0,0,0,83,95,14,2,0
1147,0,0,0,0,0,2,2,0,0,0
1160,0,0,0,0,0,0,0,0,2,0
1247,0,0,0,0,0,0,0,0,1,0
1249,0,0,0,0,0,1,0,0,1,2
1252,0,0,0,0,0,0,0,0,26,0
1254,0,1,0,0,0,1,0,0,5,7
1255,0,0,0,0,0,2,2,0,0,3
1260,1,2,0,0,0,0,0,1,0,0
1270,0,0,0,0,13,0,1,0,0,0
1273,0,1,0,0,24,0,0,1,0,1
1280,17,10,4,1380,529,14,12,10,187,13
1281,1,0,0,99,19,2,0,0,1,1
1282,1,1,3,39,7357,3,4,5,8005,3
1283,0,0,0,45,37,1,0,0,51,0
1286,0,0,0,40,5,0,1,0,1,0
1288,0,0,0,11,0,0,0,0,0,0
1290,0,0,0,18,9,0,0,0,8,0
1292,7,1,1,1065,224,10,6,1,2,0
1293,0,0,0,3,0,1,0,0,0,0
1294,0,0,0,0,2,0,0,0,1,0
1295,0,0,0,0,1,0,0,0,1,0
1296,185,5,7,16542,4867,165,42,3,6,5
1302,0,0,0,124,436,13,17,0,1,0
1303,0,0,0,8,5,1,1,0,1,0
1304,1,4,1565,9,7,2,8,3,2,14
1305,2,1,12,860,225,10,3,1,19,1
1307,12,8,7,42974,14016,531,212,21,688,25
1308,1,1,495,61,30,0,1,1,2,3
1309,0,1,2,0,14,0,0,0,2,1
1310,0,0,0,2,4,0,0,0,0,1
1311,0,0,1,1,8,0,0,0,0,0
1313,0,0,1,53,23,2,0,0,0,0
1314,0,2,2,142,36,0,3,2,9,10
1318,0,0,0,229,152,3,8,0,5,0
1326,0,0,0,32,8,1,0,0,1,0
1328,0,0,0,232,1136,48,49,0,7,0
1334,0,0,0,0,1,0,0,0,0,0
1335,0,1,19,4,98,1,8,4,1,7
1338,0,0,0,13,4,0,0,0,0,0
1340,1,0,0,21,239,14,7,0,1,0
1341,0,0,0,2,3,1,0,0,0,1
1343,18,6,38399,11,11,9,14,10,9,9
1345,0,0,0,1,0,0,0,0,0,0
1346,0,0,0,2,2,0,0,0,0,2
1348,0,0,0,2,1,0,0,0,0,0
1351,28,16,25,20,35,23,315,29,18535,100440
1352,1,6,36,27,16,0,1,6,82,397
1353,0,0,0,0,0,0,0,0,16,87
1354,0,3,1,1,1,0,0,0,2,11
1363,1,0,0,2,0,0,0,1,0,0
1374,2,2,2,0,2,0,0,2,0,0
1376,2,2,2,0,4,0,0,3,0,2
1377,0,0,1,0,0,0,0,0,0,0
1379,0,0,0,0,0,1,1,0,194,0
