taxID,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18
52,0,0,0,0,52,0,0,0,1,0
56,0,0,0,0,53,0,0,0,0,0
94,0,0,0,0,0,0,0,1,0,0
197,0,0,0,0,0,0,0,1,0,0
213,1,0,0,0,1,5,5,1,0,0
217,3,0,0,0,4,0,0,65,0,0
235,0,0,0,0,0,1,0,79,0,0
250,0,0,71,0,0,0,0,0,0,0
253,0,0,1,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,3,0,0
297,0,0,0,1,0,0,0,0,1,0
303,0,0,0,0,0,0,0,140,0,0
305,0,0,0,0,0,1,0,0,0,0
316,0,0,0,0,0,0,0,2,0,0
317,0,0,0,0,0,0,0,1,0,0
333,0,0,0,0,0,0,0,1,0,0
375,0,0,0,0,0,0,0,0,0,1
376,0,0,0,0,0,0,0,2,0,12
382,0,0,0,0,0,93,0,0,0,0
386,0,0,0,0,0,0,0,4,0,0
470,0,0,0,0,0,0,0,3,0,0
471,0,0,0,0,0,0,0,10,0,0
518,0,3,0,0,0,0,0,24,1,0
519,8,2,0,0,0,0,0,18,0,0
521,0,0,0,0,0,0,0,1,0,0
529,1,2,0,1,0,75,0,7692,2,0
545,94,0,0,0,2,0,0,0,0,0
546,31,0,0,0,0,0,0,0,0,1
548,14,0,0,0,0,0,0,0,0,1
550,9,0,0,0,0,0,0,0,0,0
552,1,0,0,0,0,0,0,0,0,0
562,147595,22,50,19,1741,18,48,20,631,2119
563,1,0,0,0,0,0,0,0,0,0
564,8641,5,6,1,140,1,3,1,15,136
565,1,0,0,0,0,0,0,0,0,0
571,15,0,0,0,0,0,0,0,0,0
573,4335,2,7,5,70,4,7,3,21,89
582,53,0,0,0,2,0,0,0,1,1
584,23,0,0,0,0,0,0,0,1,0
587,3,0,0,0,0,0,0,0,0,0
588,20,0,0,0,0,0,0,0,1,0
595,47,0,0,0,0,0,0,0,0,1
596,0,0,0,0,1,0,0,0,0,0
598,32,0,0,0,2,0,0,0,0,1
600,1,0,0,0,0,0,0,0,0,0
605,29,0,0,0,0,0,0,0,0,0
611,23,0,0,0,0,0,0,0,0,1
615,4,0,0,0,0,0,0,0,0,0
618,3,0,0,0,0,0,0,0,1,0
621,1614,0,0,0,14,0,1,1,7,11
622,2814,1,1,0,26,0,0,0,8,37
623,4685,0,3,2,43,0,0,1,21,102
624,3153,0,0,0,37,0,0,1,16,71
630,1,0,0,0,0,0,0,0,0,0
632,4,0,0,0,0,0,0,0,0,0
636,2,0,0,0,0,0,0,0,0,0
638,2,0,0,0,0,0,0,0,0,0
726,0,0,0,0,0,0,0,0,1,0
817,24,0,0,0,1,28,15,1,120,1
818,14,2,1,0,0,39,11,4,132,0
820,6612,27,3,2,6,3765,3208,1601,7359,28
821,1,1,0,0,0,376,252,0,8,1
823,12118,9,4,7,5,2205,408,4,7787,1788
831,0,1,0,0,0,12,5,6,1,0
837,0,0,0,0,0,0,1,0,0,0
839,2,0,0,0,0,3,0,0,0,1
876,17,0,0,0,1,17,3,0,86,0
881,0,0,0,0,0,1,0,0,0,0
901,8,0,0,0,0,2,0,0,78,0
964,0,0,0,0,0,0,0,4,0,0
1042,0,19,1,0,2,0,0,0,0,16
1076,0,0,0,0,0,0,0,0,0,1
1112,0,1,0,0,0,0,0,0,0,1
1126,3,0,1,0,0,3,12,0,0,0
1140,0,0,0,0,0,3,4,0,0,0
1254,0,1,0,0,0,1,0,0,5,7
1255,0,0,0,0,0,2,2,0,0,3
1270,0,0,0,0,13,0,1,0,0,0
1273,0,1,0,0,24,0,0,1,0,1
1280,8,10,3,1347,519,11,8,10,183,10
1281,1,0,0,96,18,2,0,0,1,1
1282,1,1,3,37,7247,1,2,4,7821,3
1283,0,0,0,44,36,1,0,0,51,0
1286,0,0,0,37,3,0,0,0,1,0
1288,0,0,0,11,0,0,0,0,0,0
1290,0,0,0,17,9,0,0,0,7,0
1292,7,1,1,1052,221,9,5,1,1,0
1293,0,0,0,3,0,1,0,0,0,0
1294,0,0,0,0,2,0,0,0,1,0
1295,0,0,0,0,1,0,0,0,1,0
1296,183,4,6,16253,4792,159,38,1,4,4
1302,0,0,0,119,433,13,17,0,1,0
1303,0,0,0,8,5,1,1,0,1,0
1304,1,4,1538,8,7,2,8,3,2,12
1305,0,1,12,722,178,10,1,1,16,0
1307,10,5,4,42434,13919,518,201,16,680,23
1308,0,0,488,11,14,0,1,1,0,3
1309,0,0,0,0,14,0,0,0,0,0
1310,0,0,0,2,4,0,0,0,0,1
1311,0,0,1,1,8,0,0,0,0,0
1313,0,0,1,49,22,2,0,0,0,0
1314,0,0,1,21,15,0,3,1,2,9
1318,0,0,0,217,112,3,4,0,5,0
1326,0,0,0,32,7,1,0,0,1,0
1328,0,0,0,216,1121,46,47,0,7,0
1334,0,0,0,0,1,0,0,0,0,0
1335,0,1,19,3,87,1,7,4,1,7
1338,0,0,0,10,4,0,0,0,0,0
1340,1,0,0,0,228,12,7,0,1,0
1341,0,0,0,2,3,1,0,0,0,1
1343,17,5,38017,8,8,6,10,10,8,9
1345,0,0,0,1,0,0,0,0,0,0
1346,0,0,0,2,2,0,0,0,0,2
1348,0,0,0,1,1,0,0,0,0,0
1351,21,10,18,17,26,16,299,16,18186,99020
1352,1,5,35,18,8,0,1,4,79,388
1353,0,0,0,0,0,0,0,0,15,86
1354,0,0,1,0,0,0,0,0,0,6
1363,1,0,0,0,0,0,0,0,0,0
1374,1,2,1,0,2,0,0,2,0,0
1377,0,0,1,0,0,0,0,0,0,0
1379,0,0,0,0,0,0,0,0,187,0
1390,0,2,3,0,5,0,0,5,1,4
1392,0,1,0,0,1,0,0,0,0,0
1393,0,0,0,0,1,0,0,0,0,0
1396,0,5,5,11,15,0,0,6,3,3
1397,0,0,659,1,3,0,0,0,0,7
1398,0,3,261,0,8,0,0,6,0,3
1399,0,1,5,0,1,0,0,2,0,1
1402,4,6,9,2,12,0,0,11,3,8
1404,0,0,0,21,5,0,0,1,1,1
1405,0,0,0,2,0,0,0,0,0,1
1406,0,0,0,1,0,0,0,0,0,0
1407,0,0,0,60,14,2,0,0,1,0
1423,139,412,226,11,282,18,30,506,42,213
1428,0,5,3,2,5,1,0,5,1,17
1430,0,1,1,1,1,0,0,0,1,1
1444,0,0,0,0,0,0,0,1,0,0
1451,0,0,0,1,0,0,0,0,3,0
1452,3,6,5,0,15,0,0,6,0,3
1455,51,207,238,0,312,18,12,278,22,157
1462,0,4,1,0,4,0,0,0,0,1
1467,0,3,7,0,3,0,0,2,0,0
1471,4,20,22,0,27,2,0,28,1,19
1474,35,96,95,1,145,7,3,163,13,96
1476,0,0,0,0,0,0,0,1,0,0
1478,0,0,5,0,0,0,0,0,0,0
1479,88,223,231,1,468,15,10,359,28,143
1490,1,0,0,0,1,0,3,0,238,2
1491,0,0,0,0,0,0,0,0,0,1
1496,0,0,0,0,0,0,0,0,4,0
1502,5,0,0,0,0,1,1,1,2667,0
1505,14,14,12,11,10,5,16,6,69458,9
1511,1,0,0,0,0,0,0,0,0,0
1517,0,0,0,0,0,0,1,0,0,0
1532,43,0,0,0,0,18,14,1,17,0
1547,0,0,0,0,0,0,0,0,1,0
1570,0,0,0,0,0,0,0,0,1,0
1571,3,6,10,3,16,3,0,22,1,9
1579,3,0,0,0,0,0,0,0,2,0
1581,0,0,0,0,0,0,1,0,0,0
1583,0,0,0,1,0,0,0,0,0,1
1587,3,0,0,0,0,0,0,0,2,0
1588,0,0,0,0,0,1,2,0,2,3
1590,0,0,0,2,0,2,1,0,8,8
1596,34,5,7,3,1021,13,17,7,8894,5
1598,9,10,12,5,13,4,126,10,78945,8
1599,0,0,0,0,0,3,2,1,2,4
1600,0,0,0,0,0,0,0,0,1,0
1604,2,0,0,0,0,0,0,0,1,0
1605,4,5,2,308,3,742,661,8,3518,6618
1606,0,0,0,0,0,0,0,0,1,1
1613,0,0,0,0,0,0,0,0,6,1
1618,0,0,0,0,0,0,0,0,0,1
1622,27,36,43,5649,33,12971,6289,30,58159,98734
1623,0,0,1,0,0,0,0,0,0,1
1624,0,0,0,0,0,0,0,0,1,0
1632,1,0,0,0,0,0,0,0,6,0
1633,0,0,0,0,0,0,0,0,23,0
1639,0,0,0,0,1,0,0,0,0,0
1642,0,0,0,0,0,0,0,0,0,1
1650,0,0,0,5,1,0,0,0,0,0
1705,1,1,64,0,0,0,0,0,0,10
1708,0,0,0,0,351,0,0,0,0,1
1717,0,1,0,0,0,0,0,0,0,0
1719,0,0,0,0,0,0,0,0,0,1
1747,22588,90465,50096,31,56006,79,55,15298,2371,1816
1750,0,2,0,0,0,0,0,0,0,0
1752,1,1,1,0,0,0,0,1,0,1
1769,0,0,0,0,1,0,0,0,0,0
1774,0,0,0,0,1,0,0,0,0,0
1795,0,0,0,0,3,0,0,0,0,0
1824,0,7,1,0,2,0,0,0,0,0
1828,20,0,0,0,1593,0,0,1,1,0
1829,3,2536,562,3,1,0,0,1,1,1
1830,0,145,20,0,1,0,1,0,0,0
1833,0,0,0,0,9,0,0,0,0,0
1863,0,1,0,0,0,0,0,0,0,0
1971,0,0,0,0,1,0,0,0,0,0
2047,0,12,0,0,0,0,0,0,0,0
2054,2,2,2,0,1,0,0,0,0,0
2061,0,0,0,0,2,0,0,0,0,0
2074,0,0,0,0,1,0,0,0,0,0
2342,11,0,0,0,0,0,0,0,0,0
2377,0,0,0,0,0,34,46,0,1,0
2751,0,0,0,0,0,0,0,1,0,0
2756,0,1,3,1,0,0,0,0,0,0
9606,3675,786,5607,4,24932,90,408,6940,665,2195
10090,651,1475,1306,69,9975,192,310,1785,292,991
13689,0,0,0,0,17,0,0,0,0,0
28028,0,1,5,0,0,0,0,0,0,0
28035,4,0,0,291,95,6,1,0,2,0
28037,0,1,0,4,0,1,0,0,0,0
28038,0,0,0,0,0,0,0,0,1,1
28090,0,0,0,0,486,0,0,0,0,0
28092,0,0,0,0,0,0,0,2,0,3
28104,0,0,0,0,0,1,0,0,0,0
28111,2,1,0,0,0,3,2,0,11,0
28113,2,0,0,0,0,8,15,0,0,0
28116,628,0,1,1,0,263,101,0,2367,1
28118,4019,3,4,1,4,26,465,3,186,663
28119,5,2,0,0,0,7,2,1,78,2
28125,0,0,0,0,0,0,0,1,0,6
28127,2,0,0,0,0,0,0,0,0,0
28128,0,0,0,1,0,0,0,0,0,0
28129,3,0,0,0,0,0,0,0,1,1
28131,3,1,0,0,0,0,0,0,1,0
28133,3,0,0,0,0,22,15,0,1,0
28141,20,0,0,0,0,0,0,0,0,0
28144,73,0,0,0,2,0,0,0,0,2
28147,1,0,0,0,0,0,0,0,0,0
28150,29,0,0,0,2,0,0,0,0,1
28151,1,0,0,0,0,0,0,0,0,0
28901,289,0,0,0,5,0,0,0,1,5
29347,14344,0,2,4,3,6329,4432,1,3997,4
29375,64,1,0,2,2,476,283,4,6,0
29378,0,0,0,8,1,0,0,0,0,0
29379,0,1,1,24,5,347,1,1,0,0
29380,0,0,0,16,106,0,0,0,52,0
29382,0,0,0,9,3,0,0,0,3,0
29384,0,0,0,1,1,0,0,0,0,0
29385,0,0,0,68,5,1,1,0,0,0
29388,0,0,0,14,39,0,0,0,12,0
29389,2,1,4,0,4217,205,253,0,0,0
29391,6,4,6,2,4,2,4,2,44927,1
29430,0,0,0,0,1,0,0,0,0,0
29448,0,0,0,0,0,0,0,27,0,506
29449,0,0,0,0,0,0,0,4,0,0
29459,0,0,0,0,0,1,0,49,0,0
29461,0,0,0,0,0,7,0,117,0,0
29474,1,0,0,0,0,0,0,0,0,0
29546,1,0,0,0,0,0,0,0,0,0
29581,0,0,0,0,0,0,0,22,0,0
31963,0,0,0,0,0,0,0,0,0,2
32002,259,49,0,0,0,0,0,1044,5,0
33008,0,0,0,0,12,0,0,0,0,0
33010,2,58,0,0,30,0,0,0,0,0
33011,6,22,17558,4,17,3,12,7,1,6
33028,0,0,0,3,19,0,0,0,10,0
33035,37,0,0,0,0,16,3,1,1,1
33038,8452,4,2,5,8,3641,2049,182,1300,30
33039,632,0,1,2,1,204,152,0,9,1
33040,0,0,0,15,3,0,0,0,1,0
33043,9,0,0,0,0,13,7,2,9,0
33050,1,116,103,0,0,1,0,0,0,104
33051,0,0,0,0,124,0,0,0,0,0
33918,0,0,0,0,2,0,0,0,0,0
33932,1,14,12,0,29,1,1,40,3,16
33934,0,1,0,0,0,1,0,0,0,2
33936,0,4,7,0,14,1,0,10,1,4
33940,0,1,0,0,1,0,0,0,0,0
33945,0,0,0,0,0,0,0,0,0,3
33959,87,14,19,13,3343,22,41,25,60447,19
33970,0,0,0,0,0,0,0,0,4,4
33987,96,321,191,2,512,27,10,407,43,234
34070,1,0,0,0,0,0,0,135,0,0
34071,0,0,0,0,0,0,0,111,0,0
34073,138,100,250,0,2,0,1,0,11,495
34085,0,0,11,0,0,0,0,0,0,0
35754,0,0,0,0,1,0,0,0,0,0
35787,0,0,0,0,0,0,0,0,9,0
35814,0,0,0,0,0,0,0,2,0,0
35841,65066,256735,282540,205,398688,14312,7404,305321,20166,200085
36808,0,2,1,0,0,0,0,0,0,0
36822,0,0,0,0,1,0,0,0,0,1
36835,0,0,0,0,0,2,4,0,0,0
36855,0,0,0,0,0,0,0,1,0,0
36863,0,0,32,0,0,0,0,0,0,0
36874,0,0,0,0,0,2,0,0,2,0
37326,0,1,0,0,1,0,0,0,0,0
37332,1,0,0,0,15,0,0,0,1,0
37372,0,0,0,0,0,0,0,1,0,0
37637,0,2,0,0,0,0,0,1,0,0
37692,0,0,0,0,0,0,0,0,0,1
37734,0,0,0,0,0,0,0,0,5,43
37762,53,0,0,0,2,0,0,0,0,0
37919,0,1,0,0,2,0,0,0,0,0
37923,0,0,0,0,2,0,0,0,0,0
37927,0,0,0,0,1,0,0,0,0,0
37930,0,1,0,0,1,0,0,0,0,0
38284,2,3,6,0,5,0,0,0,0,1
38289,0,10,0,0,1,0,0,0,0,2
38290,0,1,0,0,0,0,0,0,0,0
38301,1,0,0,0,0,0,0,0,0,395
38303,0,0,0,0,0,0,0,0,0,68
