taxID,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18
9,0,0,0,0,0,0,0,1,0,0
34,1,0,0,0,0,0,0,1,0,0
35,0,0,0,0,1,0,0,0,0,0
48,0,0,0,0,2,0,0,0,0,0
52,1,1,0,0,4583,2,2,0,1,1
56,1,0,0,0,278,7,3,0,7,0
61,0,1,0,0,0,0,0,0,0,0
63,0,2,1,0,0,0,0,0,0,2
94,0,0,0,0,2,0,0,2,0,0
158,0,0,0,0,2,0,0,0,0,0
174,1,0,0,0,0,1,0,0,0,0
192,1,0,0,0,0,0,0,1,0,0
197,0,0,0,1,0,3,1,3,0,0
210,0,0,0,0,0,1,2,1,1,0
213,1,0,0,1,1,5,6,2,0,0
217,3,0,0,0,4,0,0,65,0,0
227,0,0,0,0,0,1,0,0,0,0
235,0,0,0,0,0,1,0,88,0,0
238,0,0,0,0,0,0,0,0,7,0
250,2,0,85,1,0,10,5,0,7,3
253,0,0,3,0,0,1,0,0,2,1
254,0,0,1,0,0,0,0,0,3,0
256,2,0,1,2,0,13,5,0,6,6
258,0,0,0,0,0,0,1,0,2,0
259,0,0,0,0,0,0,1,0,1,0
285,0,1,1,0,0,0,0,2,1,6
287,10,0,1,0,1,3,2,2,0,1
293,1,0,0,0,0,0,0,0,1,1
294,0,0,0,0,0,0,0,4,0,0
297,3,0,0,3,0,2,0,0,9,33
303,2,0,0,0,0,2,1,151,0,1
305,8,1,0,0,0,16,11,9,3,4
316,1,0,0,0,0,0,0,2,0,0
317,0,0,0,0,0,0,0,1,0,0
333,0,0,0,0,0,0,0,1,0,0
337,0,0,0,35,0,8,7,0,78,625
347,0,0,0,0,0,0,0,0,0,1
358,1,0,0,0,0,0,1,1,0,0
375,0,0,0,0,0,0,0,0,0,6
376,0,0,0,0,0,0,0,2,0,13
381,0,0,0,0,0,1,0,0,0,0
382,1,0,0,0,0,103,4,0,0,0
386,4,0,0,0,0,2,2,10,1,1
408,0,0,0,0,0,1,0,0,0,0
410,0,0,0,0,0,1,0,0,0,0
435,2,0,0,0,0,0,1,1,0,0
436,0,0,0,0,0,2,0,0,0,0
451,0,0,0,0,0,0,0,1,0,0
454,0,0,0,0,0,0,1,0,0,0
470,8,2,2,5,9,9,9,11,11,6
471,0,0,0,0,0,0,0,10,0,0
485,4,1,1,8,0,5,5,1,4,26
486,0,0,0,0,0,0,0,0,1,0
487,0,0,0,1,0,2,1,0,1,22
493,0,0,0,0,0,0,0,0,0,2
505,0,0,0,1,0,0,1,0,1,9
511,0,0,0,0,0,0,0,0,1,1
518,0,4,0,5,0,0,0,26,5,83
519,10,2,0,0,0,0,0,18,1,26
520,0,1,0,3,0,0,0,4,1,16
521,0,0,0,0,0,0,0,1,0,0
529,3,2,1,2,1,88,0,8003,2,0
536,0,2,3,0,3,2,0,5,0,2
537,0,0,0,0,1,0,0,0,0,0
542,0,0,0,0,2,0,0,0,0,0
545,107,0,0,0,2,0,0,0,0,0
546,43,0,0,0,0,0,0,0,0,3
548,29,0,0,0,0,0,0,0,0,1
549,4,0,0,0,0,0,0,0,1,0
550,12,0,0,0,0,0,0,0,0,0
552,3,0,0,0,0,0,0,0,0,0
562,166304,42,68,25,1917,145,160,41,745,2403
563,1,0,0,0,0,0,0,0,0,0
564,8833,6,6,1,141,1,3,1,17,139
565,4,0,0,0,0,0,0,0,0,0
571,25,0,0,0,0,0,0,0,0,0
573,4657,4,7,5,71,7,12,4,25,95
582,74,1,2,0,2,1,0,1,1,3
584,24,0,1,0,0,0,0,0,1,0
585,0,0,0,0,1,1,0,0,10,51
587,3,0,0,0,0,0,0,0,0,0
588,20,0,0,0,0,0,0,0,1,0
595,65,0,0,0,0,0,1,0,1,1
596,56,0,0,0,2,0,1,0,1,0
598,49,0,0,0,2,0,0,0,1,2
600,6,0,0,0,0,0,0,0,0,0
605,35,0,0,0,0,0,0,0,0,0
611,28,0,0,0,0,0,0,0,0,1
615,6,0,0,0,0,0,0,0,0,0
618,3,0,0,0,0,0,1,0,1,0
621,1700,0,0,0,15,0,1,2,9,12
622,2946,1,1,1,27,0,0,0,8,39
623,4913,0,3,2,45,0,1,1,22,108
624,3249,0,0,0,38,0,0,1,18,72
630,2,0,0,0,0,0,0,0,0,0
631,7,0,0,0,0,0,0,0,0,0
632,7,0,0,0,0,0,0,0,0,0
633,3,0,0,0,0,0,0,0,0,0
636,9,0,0,0,0,0,0,0,0,1
638,2,0,0,0,0,0,0,0,0,0
644,9,0,0,0,4,8,5,3,2,0
645,3,0,0,0,2,6,2,2,2,2
648,1,0,0,1,2,2,1,0,1,2
654,7,0,0,0,7,3,1,0,1,1
656,1,0,0,0,0,0,0,0,0,0
663,0,0,0,0,0,1,0,0,0,0
666,1,0,0,0,0,2,1,0,0,0
669,3,1,0,0,0,7,0,0,0,0
670,1,0,0,0,0,0,0,0,0,0
673,1,0,0,0,0,0,0,0,0,0
680,3,0,0,0,0,0,0,0,0,0
703,2,0,0,0,0,0,0,0,0,0
714,0,0,0,0,0,3,0,0,0,0
716,0,0,0,0,0,3,0,0,0,0
726,0,0,0,0,0,0,0,0,1,0
727,0,0,0,0,0,1,1,0,0,0
728,0,0,0,0,0,2,1,1,0,1
729,1,0,0,0,0,0,1,0,1,0
731,0,0,0,0,0,1,0,0,0,0
732,0,0,0,0,0,0,0,0,1,0
738,0,0,0,0,1,0,0,0,1,0
747,0,0,0,0,0,1,1,0,0,0
774,0,0,0,0,0,1,0,0,5,0
779,0,0,0,0,0,2,5,18,2,0
783,0,0,0,0,1,0,0,0,0,1
784,0,0,0,0,0,1,0,0,2,1
817,295,6,1,1,3,596,405,24,1759,13
818,203,53,1,1,1,150,96,88,382,9
820,7269,93,6,4,8,4338,3790,1748,8297,52
821,2307,767,2,0,0,781,550,1085,1435,22
823,13602,45,5,11,10,4817,2324,11,11032,1924
824,0,0,0,0,0,0,1,0,2,0
827,1,0,0,0,0,0,0,0,0,0
831,13419,1251,11,5,10,21289,15795,246,952,477
837,133,12,0,2,0,262,170,19,740,146
839,45,6,0,0,0,66,57,11,54,29
844,0,0,0,0,1,0,0,2,0,0
847,0,0,1,0,0,0,1,0,0,1
851,1,0,1,0,0,0,0,0,0,1
853,964,6,0,0,1,77,129,17,143,3
865,0,4,1,0,1,1,2,16,2,1
876,21,0,0,0,1,66,5,0,112,0
881,13,0,0,0,0,9,2,0,0,0
882,32,0,0,0,0,15,0,0,0,0
891,0,0,0,0,0,2,0,0,0,0
897,3,0,0,0,0,5,2,2,2,0
901,14,0,0,0,0,234,5,0,104,1
907,1,4,0,0,0,2,0,0,0,0
915,0,0,0,3,0,1,0,0,5,32
920,3,0,0,0,0,0,0,0,0,1
924,0,0,0,0,0,0,1,2,0,1
926,0,0,1,0,0,6,1,0,3,1
944,0,0,0,0,0,2,1,5,1,0
948,0,0,1,0,0,1,0,5,2,0
955,0,1,0,0,0,0,0,0,1,0
959,13,0,1,0,0,0,3,0,5,0
960,0,0,0,0,0,0,4,10,0,0
964,2,1,0,1,0,0,1,4,2,12
979,2,0,0,2,0,0,3,0,0,0
996,1,0,0,0,0,2,2,0,2,0
1008,1,0,0,0,0,2,0,0,4,0
1010,1,0,0,0,0,0,0,0,0,0
1014,0,0,0,0,0,0,0,0,0,1
1017,0,0,0,4,1,2,0,0,0,1
1018,0,0,0,5,0,0,1,0,0,0
1042,3,19,1,0,6,1,1,0,1,17
1052,0,0,0,0,2,0,1,0,0,0
1063,0,0,0,0,0,32,5,0,0,0
1076,0,0,0,0,0,0,0,0,0,1
1079,0,0,0,0,0,6,3,0,16,0
1085,676,1,0,0,0,11,0,0,735,0
1094,0,0,0,0,0,0,0,0,0,1
1112,0,1,0,0,0,0,0,0,0,1
1126,43,1,7,0,0,182,132,3,0,6
1140,3,0,0,0,0,151,177,15,2,0
1147,0,0,0,0,0,2,2,0,0,0
1148,0,0,0,0,0,0,0,1,0,0
1160,36,1,1,0,0,3,4,0,161,0
1188,0,0,1,0,0,2,0,0,4,0
1238,2,0,0,0,0,0,0,0,1,0
1245,1,0,0,0,0,0,0,0,0,1
1246,16,0,1,2,1,21,20,7,1,6
1247,0,0,0,0,0,1,1,1,1,1
1249,0,1,0,2,1,6,4,0,1,2
1252,0,0,0,0,0,3,3,2,48,0
1254,0,1,0,1,0,3,3,0,7,8
1255,0,0,0,0,0,3,3,0,2,6
1260,3,2,1,0,0,2,3,1,2,0
1270,0,1,0,0,25,0,1,0,0,0
1273,1,1,0,0,40,0,0,1,0,1
1274,0,2,0,0,0,0,0,0,0,0
1275,2,0,0,0,0,2,0,0,0,0
